,PDBID,pK
3678,2xpk,11.30
3679,3o9e,11.30
3680,3st5,11.30
3681,4f2w,11.30
3682,4gbd,11.32
3683,2x00,11.33
3684,2j62,11.34
3685,2hb3,11.35
3686,1hvj,11.40
3687,2i0a,11.40
3688,1lyb,11.42
3689,4djo,11.52
3690,4djr,11.52
3691,6cpa,11.52
3692,3qaa,11.54
3693,2i4u,11.57
3694,4ll3,11.57
3695,2i4w,11.59
3696,2i4d,11.68
3697,4jn2,11.68
3698,1y6q,11.70
3699,2i4x,11.72
3700,4dfg,11.74
3701,1duv,11.80
3702,3o9i,11.82
3703,4f3c,11.82
3704,1sl3,11.85
3705,1ctu,11.92
